contents,
"昨晚🌝
某直男跟我说:我给你买Dior999吧，你不是想要的嘛💄
我:我现在不想要了😒
他:别呀，999也还好啦，不贵🤗
我:……大哥！人家是色号！不是啦价格
#论男生和女生究竟有多大的思维差异#",
"希望全世界的女生都去买一支Dior421
（试色是不可能试色的）",
huda beauty的沙漠黄昏盘和dior的高光002…真心推荐,
"Dior lacquer plump
种草了，很想拥有了，好好看",
太惨了，女人为什么要结婚？地铁上遇到一对夫妻，女的畏畏缩缩的和男的介绍了一番我手上的dior106 ，好像得到了什么许可一样问我说这个色号多少钱啊，听到两三百块的答案，那男的就变了脸说到你多大的人了还想买这些小孩的东西。那女的嘴里嘟囔着这是最新型的色号，然后就没了声音，太惨了……,
@黍占十一: 太惨了，男人为什么要结婚？地铁上遇到一对夫妻，男的畏畏缩缩的和女的介绍了一番我手上的 Switch ，好像得到了什么许可一样问我说这游戏机一个游戏卡带多少钱啊，听到两三百块的答案，那女的就变了脸说到你多大的人了还想买这些小孩的东西。那男的嘴里嘟囔着这是最新型的游戏掌机，然后就没了声音，太 ...全文,
新宠感谢粑粑和小舅昨天给我发的红包难过的是，dior999和mac chili颜色真的挺像的，尤其在我嘴上,
"Dior421火了这么久这
是真实的焦糖奶茶色吗
不会上嘴就变猪肝了吧
不想再上小红书的当了",
"你们知道9号是啥日子…
最近入的口红太多了
闲鱼没怎么用过的几支出去
dior080 买的时候用了一次
mac diva 一次也没用
mac ruby woo 也是买的时候用了一次
买太多…发现都不适合自己，没涂的那个有个口红和这一样了
都是香港和美国入的，想要的私我，全都便宜出了",
"Dior421火了这么久这
是真实的焦糖奶茶色吗
不会上嘴就变猪肝了吧
不想再上小红书的当了",
"你们知道9号是啥日子…
最近入的口红太多了
闲鱼没怎么用过的几支出去
dior080 买的时候用了一次
mac diva 一次也没用
mac ruby woo 也是买的时候用了一次
买太多…发现都不适合自己，没涂的那个有个口红和这一样了
都是香港和美国入的，想要的私我，全都便宜出了",
"消解情绪情绪还有别的方式：买！
ysl银管11我真的想把它吃掉！！！
就上班之后口红的色域越来越窄了啊～除了豆沙红就是豆沙红！这款我真的！！！求求你们买一支吧！！太好用了！颜色一点都不跳跃，非常适合上班用！继GIVENCHY301和dior888后新宠！
种草完毕！我要去吃口红啦～啦啦啦～",
蔡徐坤 x Dior Homme ┊ 从美国归来的机场look，对一个新人来说非常用心了：大廓形oversize的Dior Homme格纹半长外套，内搭Phillip Lim的素描狼Tee，扎进素色黑裤。在时髦的路上，这群蓄势待发的偶像练习生都不是等闲之辈。,
#傻dior对话两则#,
希望自己以后能经济独立，能让父母吃好的住好的，自己能养活自己，自己买得起lamer. SK-ll. Dior……等等，看到自己喜欢的东西自己付得起，不靠别人,
"DG . LV . Dior .
购物跟心情有关。
心情不好，买
看样子最近心情真的不好了。
别让我等太久。
太久就不喜欢了。",
最近对dior情有独钟,
