博主主页,博主昵称,发布时间,微博内容,微博地址,微博来源,评论,赞,转发
https://weibo.com/1651806652?refer_flag=1001030103_,林总玛丽苏阿楚,2011-03-12 07:58,日本福岛第一核能发电站的核辐射已经超过了正常时的1000倍，周围的避难范围也由3公里扩大到了10公里,https://weibo.com/1780481403/3f4CYlk1Gc?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1659608545?refer_flag=1001030103_,Ellen朗文札记,2011-03-12 07:03,法新社最新消息：东京电力公司宣称，福岛第二核电站的冷却系统也发生故障。该核电站距离福岛第一核电站仅11公里。目前据官方称，福岛第一核电站可能已发生核泄漏。,https://weibo.com/1893801487/3f4CYlhPNM?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1764957210?refer_flag=1001030103_,麦麦飞,2011-03-12 09:00,【日本福岛县第一和第二核电站已经发现核泄漏】综合媒体报道称，由于福岛县第一和第二核电站已经发现核泄漏，日本政府紧急决定疏散周围10公里的居民。首相菅直人今日清晨搭乘陆上自卫队的直升机，前往福岛县第一核电站和地震灾区进行视察。O网页链接,https://weibo.com/1314608344/3f4CYlmGnE?refer_flag=1001030103_,iPhone客户端,0,0,0
https://weibo.com/1784380335?refer_flag=1001030103_,我系B,2011-03-12 07:03,法新社最新消息：东京电力公司宣称，福岛第二核电站的冷却系统也发生故障。该核电站距离福岛第一核电站仅11公里。目前据官方称，福岛第一核电站可能已发生核泄漏。,https://weibo.com/1893801487/3f4CYlhPNM?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1774838651?refer_flag=1001030103_,林彬Michael,2011-03-12 06:48,【日本福岛核电站可能已泄漏】北京时间3月11日13点46分，日本本州岛附近海域发生里氏8.8级地震。东京电力公司表示，福岛核电站可能已经出现泄漏。O网页链接 滚动视频集：O网页链接,https://weibo.com/1640601392/3z4CYlipna?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1707661230?refer_flag=1001030103_,关点点--,2011-03-12 09:22,愿能平安度过！加油 《日本福岛核电站开始泄漏放射性物质》 O网页链接（ 来自@手机新浪网 ）,https://weibo.com/1707661230/bVd63H?refer_flag=1001030103_,手机新浪网,0,0,0
https://weibo.com/1860481037?refer_flag=1001030103_,宇色于心,2011-03-12 09:18,【日本福岛县第一和第二核电站已发现核泄漏】福岛县第一和第二核电站已经发现核泄漏，因此，日本政府紧急决定疏散周围10公里的居民。福岛县南相马市有1800户人家遭海啸袭击，已经处于全部毁灭状态，死者目前无法统计。O网页链接,https://weibo.com/1642088277/3f4CYlkWg8?refer_flag=1001030103_,微博 weibo.com,0,0,1
https://weibo.com/1563990443?refer_flag=1001030103_,猫玖_梦境师,2011-03-12 09:22,“福岛县第一核电站控制室监测核放射是平常的1，000倍！正门是平常的8倍。2人死亡。政府誓言全力救灾。要求半径10公里范围内住户不要出门。”=  =。。,https://weibo.com/1563990443/bVd5Xv?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1786828620?refer_flag=1001030103_,萧大侠balance,2011-03-12 06:48,【日本福岛核电站可能已泄漏】北京时间3月11日13点46分，日本本州岛附近海域发生里氏8.8级地震。东京电力公司表示，福岛核电站可能已经出现泄漏。O网页链接 滚动视频集：O网页链接,https://weibo.com/1640601392/3z4CYlipna?refer_flag=1001030103_,微博 weibo.com,0,0,0
https://weibo.com/1718799952?refer_flag=1001030103_,爱睡觉的May,2011-03-12 09:22,日本的状况很严重，海啸火灾核电站泄漏。。bless,https://weibo.com/1718799952/bVd4YF?refer_flag=1001030103_,iPhone客户端,0,0,0
